pattern,tag,label
hi,gr_hi,0
halo,gr_ha,1
selamat pagi,gr_pa,2
selamat siang,gr_si,3
selamat sore,gr_so,4
selamat malam,gr_ma,5
program studi apa di uin sunan gunung djati bandung,prodi,6
apa jurus uin bandung,prodi,6
jurus apa,prodi,6
mohon informasi kena program studi sedia uin sunan gunung djati bandung,prodi,6
saya daftar program studi uin sunan gunung djati bandung,prodi,6
ikan rincian program studi tawar uin sunan gunung djati bandung,prodi,6
ingin tahu program studi apa yang di uin sunan gunung djati bandung,prodi,6
anda sebut program studi ada uin sunan gunung djati bandung,prodi,6
anda milik informasi program studi uin sunan gunung djati bandung,prodi,6
saya tahu program studi sedia uin sunan gunung djati bandung,prodi,6
mohon bantu beri informasi kena program studi uin sunan gunung djati bandung,prodi,6
tarik tahu program studi apa yang tawar uin sunan gunung djati bandung,prodi,6
jelas program studi sedia uin sunan gunung djati bandung,prodi,6
program studi apa yang di uin sunan gunung djati bandung,prodi,6
jurus apa di uin sunan gunung djati bandung,prodi,6
uin sunan gunung djati bandung punya program studi apa,prodi,6
kasih tahu program studi uin sunan gunung djati bandung,prodi,6
uin sunan gunung djati bandung jurus apa ya,prodi,6
mau tanya uin sunan gunung djati bandung program studi apa aja,prodi,6
uin sunan gunung djati bandung tawar jurus apa aja sih,prodi,6
yang tahu program studi uin sunan gunung djati bandung,prodi,6
uin sunan gunung djati bandung program studi apa aja sih,prodi,6
kasih tahu dong program studi ada uin sunan gunung djati bandung apa aja,prodi,6
jalur masuk apa di uin sunan gunung djati bandung program sarjana s1,jm_s1,7
apa jalur masuk s1 sarjana uin bandung,jm_s1,7
jalur masuk s1 sarjana,jm_s1,7
jalur masuk apa untuk s1,jm_s1,7
apa jalur masuk sedia uin sunan gunung djati bandung program sarjana s1,jm_s1,7
mohon informasi kena jalur masuk ada uin sunan gunung djati bandung program sarjana s1,jm_s1,7
anda jelas jalur masuk sedia uin sunan gunung djati bandung program sarjana s1,jm_s1,7
ingin tahu jalur masuk tawar uin sunan gunung djati bandung program sarjana s1,jm_s1,7
informasi jalur masuk apa yang di uin sunan gunung djati bandung program sarjana s1,jm_s1,7
anda beri rincian kena jalur masuk uin sunan gunung djati bandung program sarjana s1,jm_s1,7
tarik tahu jalur masuk sedia uin sunan gunung djati bandung program sarjana s1,jm_s1,7
mohon jelas jalur masuk uin sunan gunung djati bandung program sarjana s1,jm_s1,7
